Hour,Messages
2005-01-30T07,3
2005-01-30T08,3
2005-01-30T09,6
2005-01-30T17,3
2005-01-31T06,1
2005-01-31T09,3
2005-01-31T12,3
2005-01-31T15,6
2005-01-31T16,3
2005-02-01T14,3
2005-02-01T15,3
2005-02-01T17,3
2005-02-02T09,3
2005-02-02T16,3
2005-02-02T17,3
2005-02-03T08,3
2005-02-03T10,6
2005-02-03T11,3
2005-02-04T07,3
2005-02-04T10,4
2005-02-04T13,3
2005-02-04T16,2
2005-02-05T08,3
2005-02-05T17,1
2005-02-06T07,3
2005-02-06T10,2
2005-02-07T10,3
2005-02-07T12,3
2005-02-07T13,3
2005-02-08T09,3
2005-02-09T08,3
2005-02-09T12,3
2005-02-09T13,2
2005-02-09T14,1
2005-02-09T16,6
2005-02-10T07,3
2005-02-10T17,3
2005-02-11T06,4
2005-02-11T07,3
2005-02-11T09,2
2005-02-11T16,5
2005-02-12T08,1
2005-02-12T09,2
2005-02-12T11,3
2005-02-12T12,3
2005-02-12T15,6
2005-02-13T09,3
2005-02-13T14,3
2005-02-14T12,3
2005-02-14T15,3
2005-02-15T07,3
2005-02-15T08,3
2005-02-15T09,3
2005-02-16T07,3
2005-02-16T10,3
2005-02-16T12,3
2005-02-17T06,2
2005-02-17T07,3
2005-02-17T08,3
2005-02-17T11,3
2005-02-17T12,3
2005-02-17T13,3
2005-02-18T07,3
2005-02-18T11,3
2005-02-18T12,3
2005-02-18T13,6
2005-02-18T14,1
2005-02-18T15,2
2005-02-19T09,3
2005-02-19T10,3
2005-02-19T12,3
2005-02-19T17,2
2005-02-20T10,3
2005-02-20T12,2
2005-02-20T13,3
2005-02-20T17,3
2005-02-21T16,3
2005-02-22T06,3
2005-02-22T07,3
2005-02-22T11,6
2005-02-22T12,3
2005-02-22T15,3
2005-02-23T08,3
2005-02-23T10,3
2005-02-23T13,3
2005-02-23T16,3
2005-02-24T09,1
2005-02-24T17,3
2005-02-25T08,3
2005-02-25T13,3
2005-02-25T15,6
2005-02-25T16,3
2005-02-26T07,3
2005-02-26T09,6
2005-02-26T11,3
2005-02-26T15,3
2005-02-26T16,3
2005-02-27T08,2
2005-02-27T09,2
2005-02-27T10,3
2005-02-27T13,3
2005-02-28T11,3
2005-02-28T14,3
2005-03-01T06,3
2005-03-01T08,3
2005-03-01T10,3
2005-03-01T17,3
2005-03-02T07,3
2005-03-02T10,6
2005-03-02T14,3
2005-03-03T08,3
2005-03-03T10,3
2005-03-03T11,3
2005-03-04T12,3
2005-03-04T17,3
2005-03-05T07,3
2005-03-05T09,3
2005-03-05T11,3
2005-03-05T12,3
2005-03-05T13,2
2005-03-06T15,3
2005-03-07T10,3
2005-03-07T11,3
2005-03-07T16,3
2005-03-08T15,4
2005-03-08T16,3
2005-03-08T17,3
2005-03-09T06,6
2005-03-09T07,3
2005-03-09T09,3
2005-03-09T11,3
2005-03-10T07,3
2005-03-10T10,6
2005-03-10T11,3
2005-03-10T14,3
2005-03-10T16,3
2005-03-11T10,3
2005-03-11T13,6
2005-03-11T16,3
2005-03-12T08,3
2005-03-12T12,3
2005-03-13T08,3
2005-03-13T09,6
2005-03-13T10,3
2005-03-13T15,3
2005-03-13T17,6
2005-03-14T06,33
2005-03-14T07,3
2005-03-14T11,3
2005-03-14T12,5
2005-03-14T14,3
2005-03-15T11,3
2005-03-15T12,6
2005-03-15T13,3
2005-03-15T17,3
2005-03-16T07,3
2005-03-16T08,3
2005-03-16T11,3
2005-03-16T16,3
2005-03-17T06,3
2005-03-17T08,3
2005-03-17T13,3
2005-03-17T14,3
2005-03-18T07,3
2005-03-18T10,3
2005-03-18T12,9
2005-03-19T07,30
2005-03-19T12,3
2005-03-19T13,27
2005-03-19T14,3
2005-03-19T15,6
2005-03-19T16,3
2005-03-20T15,3
2005-03-21T11,1
2005-03-21T16,6
2005-03-22T08,3
2005-03-22T14,3
2005-03-22T16,3
2005-03-23T09,4
2005-03-23T13,3
2005-03-23T14,2
2005-03-23T17,6
2005-03-24T09,3
2005-03-24T11,2
2005-03-24T13,3
2005-03-24T16,7
2005-03-25T14,6
2005-03-25T16,3
2005-03-25T17,3
2005-03-26T07,3
2005-03-26T09,6
2005-03-26T10,1
2005-03-26T11,5
2005-03-26T16,1
2005-03-26T17,2
2005-03-27T09,2
2005-03-27T10,3
2005-03-27T14,3
2005-03-27T16,4
2005-03-27T17,5
2005-03-28T09,6
2005-03-28T10,3
2005-03-28T12,2
2005-03-28T13,3
2005-03-28T14,3
2005-03-28T15,3
2005-03-29T08,13
2005-03-29T09,6
2005-03-29T10,3
2005-03-29T11,3
2005-03-30T06,2
2005-03-30T07,4
2005-03-30T08,3
2005-03-30T09,6
2005-03-30T11,3
2005-03-30T12,6
2005-03-30T14,3
2005-03-30T16,3
2005-03-31T09,4
2005-03-31T10,3
2005-03-31T12,3
2005-03-31T15,6
2005-03-31T17,2
2005-04-01T07,3
2005-04-01T08,3
2005-04-01T12,3
2005-04-01T14,3
2005-04-02T06,3
2005-04-02T11,2
2005-04-02T13,3
2005-04-02T14,1
2005-04-02T16,3
2005-04-02T17,9
2005-04-03T06,3
2005-04-03T08,15
2005-04-03T09,7
2005-04-03T14,3
2005-04-03T15,3
2005-04-03T16,3
2005-04-04T05,3
2005-04-04T07,3
2005-04-05T05,3
2005-04-05T06,2
2005-04-05T08,3
2005-04-05T10,6
2005-04-05T13,3
2005-04-05T14,3
2005-04-05T16,4
2005-04-06T07,3
2005-04-06T08,3
2005-04-06T09,3
2005-04-06T13,3
2005-04-06T14,5
2005-04-06T15,3
2005-04-07T05,3
2005-04-07T08,3
2005-04-07T16,3
2005-04-08T05,3
2005-04-08T08,3
2005-04-08T11,3
2005-04-08T13,3
2005-04-08T14,6
2005-04-08T15,3
2005-04-09T08,3
2005-04-09T16,3
2005-04-10T05,3
2005-04-10T06,6
2005-04-10T08,3
2005-04-10T10,4
2005-04-10T11,5
2005-04-10T12,4
2005-04-10T13,3
2005-04-11T05,3
2005-04-11T06,3
2005-04-11T07,3
2005-04-11T09,3
2005-04-11T10,5
2005-04-11T11,2
2005-04-11T12,6
2005-04-11T16,6
2005-04-12T06,5
2005-04-12T09,3
2005-04-12T10,3
2005-04-12T12,6
2005-04-12T13,3
2005-04-12T15,3
2005-04-12T16,6
2005-04-13T07,9
2005-04-13T08,3
2005-04-13T12,6
2005-04-13T16,6
2005-04-14T06,3
2005-04-14T13,3
2005-04-14T14,6
2005-04-14T15,3
2005-04-14T16,3
2005-04-15T05,8
2005-04-15T07,6
2005-04-15T08,3
2005-04-15T09,1
2005-04-15T11,4
2005-04-15T12,2
2005-04-15T13,6
2005-04-15T14,3
2005-04-15T16,4
2005-04-16T05,3
2005-04-16T06,3
2005-04-16T07,3
2005-04-16T08,3
2005-04-16T09,6
2005-04-16T10,3
2005-04-16T11,3
2005-04-16T13,3
2005-04-17T07,1
2005-04-17T08,3
2005-04-17T10,3
2005-04-17T12,2
2005-04-17T14,3
2005-04-17T16,3
2005-04-18T06,2
2005-04-18T07,6
2005-04-18T08,3
2005-04-18T10,3
2005-04-18T11,6
2005-04-18T12,9
2005-04-18T13,3
2005-04-18T14,3
2005-04-18T15,6
2005-04-18T16,6
2005-04-19T05,6
2005-04-19T06,6
2005-04-19T07,3
2005-04-19T10,3
2005-04-19T12,6
2005-04-19T13,3
2005-04-19T14,3
2005-04-19T15,2
2005-04-19T16,3
2005-04-20T05,29
2005-04-20T07,5
2005-04-20T08,3
2005-04-20T09,3
2005-04-20T11,3
2005-04-20T12,6
2005-04-20T13,3
2005-04-20T16,3
2005-04-21T06,6
2005-04-21T09,6
2005-04-21T10,6
2005-04-21T11,6
2005-04-21T12,6
2005-04-21T15,8
2005-04-21T16,6
2005-04-22T05,3
2005-04-22T07,3
2005-04-22T09,6
2005-04-22T11,3
2005-04-22T12,3
2005-04-22T13,3
2005-04-22T15,6
2005-04-22T16,9
2005-04-23T05,1
2005-04-23T07,3
2005-04-23T08,3
2005-04-23T15,3
2005-04-24T05,3
2005-04-24T07,3
2005-04-24T08,3
2005-04-24T09,6
2005-04-24T10,3
2005-04-24T13,2
2005-04-24T14,4
2005-04-24T15,8
2005-04-24T16,4
2005-04-25T05,8
2005-04-25T08,3
2005-04-25T09,3
2005-04-25T10,3
2005-04-25T12,3
2005-04-25T14,3
2005-04-25T15,6
2005-04-25T16,1
2005-04-26T05,3
2005-04-26T07,3
2005-04-26T09,5
2005-04-26T10,6
2005-04-26T11,3
2005-04-26T12,6
2005-04-26T13,3
2005-04-26T15,1
2005-04-26T16,3
2005-04-27T08,6
2005-04-27T11,3
2005-04-27T12,3
2005-04-27T13,6
2005-04-28T09,3
2005-04-28T12,3
2005-04-28T13,3
2005-04-29T10,9
2005-04-29T12,3
2005-04-29T14,3
2005-04-29T15,3
2005-04-29T16,3
2005-04-30T06,6
2005-04-30T07,9
2005-04-30T08,3
2005-04-30T11,3
2005-04-30T13,6
2005-04-30T14,3
2005-05-01T05,2
2005-05-01T06,1
2005-05-01T07,6
2005-05-01T10,7
2005-05-01T12,3
2005-05-01T15,3
2005-05-01T16,2
2005-05-02T10,3
2005-05-02T14,3
2005-05-02T16,3
2005-05-03T06,3
2005-05-03T09,6
2005-05-03T10,3
2005-05-03T12,3
2005-05-03T15,3
2005-05-04T05,3
2005-05-04T07,3
2005-05-04T10,1
2005-05-04T11,5
2005-05-04T13,3
2005-05-04T16,3
2005-05-05T05,1
2005-05-05T06,3
2005-05-05T07,3
2005-05-05T09,3
2005-05-05T10,3
2005-05-05T12,3
2005-05-05T13,6
2005-05-06T08,3
2005-05-06T09,11
2005-05-06T11,2
2005-05-06T12,4
2005-05-06T14,6
2005-05-06T16,1
2005-05-07T08,3
2005-05-07T09,3
2005-05-07T12,3
2005-05-07T13,3
2005-05-07T16,3
2005-05-08T07,3
2005-05-08T09,5
2005-05-08T10,6
2005-05-08T13,5
2005-05-08T15,3
2005-05-09T06,3
2005-05-09T07,3
2005-05-09T09,6
2005-05-09T10,3
2005-05-09T14,1
2005-05-10T08,3
2005-05-10T09,9
2005-05-10T12,6
2005-05-10T14,2
2005-05-10T16,3
2005-05-11T06,3
2005-05-11T07,2
2005-05-11T08,1
2005-05-11T10,3
2005-05-11T16,3
2005-05-12T06,3
2005-05-12T07,3
2005-05-12T08,3
2005-05-12T12,3
2005-05-12T14,9
2005-05-12T16,24
2005-05-13T05,3
2005-05-13T08,3
2005-05-13T12,6
2005-05-13T15,9
2005-05-13T16,3
2005-05-14T06,3
2005-05-14T11,6
2005-05-14T14,3
2005-05-15T05,3
2005-05-15T06,3
2005-05-15T07,3
2005-05-15T11,3
2005-05-15T13,3
2005-05-15T14,2
2005-05-15T15,4
2005-05-15T16,3
2005-05-16T06,6
2005-05-16T08,3
2005-05-16T09,6
2005-05-16T10,2
2005-05-16T11,8
2005-05-16T12,8
2005-05-16T16,3
2005-05-18T06,3
2005-05-18T08,3
2005-05-18T12,3
2005-05-18T15,3
2005-05-18T16,3
2005-05-19T08,3
2005-05-19T11,6
2005-05-19T12,6
2005-05-19T13,3
2005-05-20T05,9
2005-05-20T14,3
2005-05-21T06,3
2005-05-21T07,3
2005-05-21T09,3
2005-05-21T11,3
2005-05-21T12,3
2005-05-21T13,3
2005-05-22T05,6
2005-05-22T06,2
2005-05-22T09,6
2005-05-22T13,1
2005-05-23T09,3
2005-05-23T10,5
2005-05-23T11,2
2005-05-23T12,1
2005-05-23T13,3
2005-05-24T06,6
2005-05-24T08,3
2005-05-24T09,3
2005-05-24T12,4
2005-05-24T13,12
2005-05-24T14,5
2005-05-24T15,3
2005-05-24T16,11
2005-05-25T05,1
2005-05-25T06,3
2005-05-25T07,3
2005-05-25T08,3
2005-05-25T10,6
2005-05-25T11,3
2005-05-25T12,3
2005-05-25T13,1
2005-05-25T16,3
2005-05-26T05,3
2005-05-26T07,6
2005-05-26T13,6
2005-05-26T15,3
2005-05-26T16,6
2005-05-27T05,6
2005-05-27T08,3
2005-05-27T11,3
2005-05-27T12,3
2005-05-27T14,3
2005-05-27T16,3
2005-05-28T06,1
2005-05-28T07,6
2005-05-28T10,3
2005-05-28T11,3
2005-05-28T12,6
2005-05-28T15,6
2005-05-29T05,3
2005-05-29T08,6
2005-05-29T10,3
2005-05-29T14,3
2005-05-29T15,6
2005-05-31T09,3
2005-05-31T13,3
2005-05-31T14,3
2005-05-31T15,6
2005-06-01T05,3
2005-06-01T06,3
2005-06-01T07,4
2005-06-01T12,3
2005-06-01T14,3
2005-06-01T15,3
2005-06-01T16,3
2005-06-02T05,3
2005-06-02T07,3
2005-06-02T08,2
2005-06-02T10,6
2005-06-02T11,3
2005-06-02T12,6
2005-06-03T06,3
2005-06-03T07,1
2005-06-03T08,5
2005-06-03T11,3
2005-06-03T16,3
2005-06-04T11,3
2005-06-04T12,3
2005-06-04T13,1
2005-06-04T15,1
2005-06-04T16,1
2005-06-05T05,3
2005-06-05T06,27
2005-06-05T08,3
2005-06-05T11,3
2005-06-05T12,9
2005-06-05T14,3
2005-06-05T15,5
2005-06-06T09,3
2005-06-06T11,3
2005-06-06T13,3
2005-06-06T14,6
2005-06-06T15,6
2005-06-06T16,1
2005-06-07T05,3
2005-06-07T07,3
2005-06-07T08,7
2005-06-07T09,2
2005-06-07T10,3
2005-06-07T13,3
2005-06-07T14,3
2005-06-07T15,3
2005-06-08T12,3
2005-06-08T16,3
2005-06-09T08,3
2005-06-09T10,6
2005-06-09T11,3
2005-06-09T12,3
2005-06-09T13,12
2005-06-09T14,3
2005-06-09T15,3
2005-06-10T05,3
2005-06-10T07,3
2005-06-10T12,3
2005-06-10T15,3
2005-06-11T08,3
2005-06-11T09,6
2005-06-11T13,9
2005-06-12T07,3
2005-06-12T13,3
2005-06-12T14,3
2005-06-12T15,5
2005-06-13T10,3
2005-06-13T13,3
2005-06-13T14,3
2005-06-13T15,3
2005-06-13T16,1
2005-06-14T05,3
2005-06-14T06,6
2005-06-14T08,3
2005-06-14T15,6
2005-06-15T05,6
2005-06-15T08,3
2005-06-15T09,3
2005-06-15T13,2
2005-06-15T14,4
2005-06-16T06,3
2005-06-16T10,9
2005-06-16T11,3
2005-06-16T12,3
2005-06-16T13,2
2005-06-16T16,3
2005-06-17T05,3
2005-06-17T06,3
2005-06-17T07,10
2005-06-17T08,2
2005-06-17T11,6
2005-06-17T12,6
2005-06-17T13,3
2005-06-17T14,3
2005-06-18T06,9
2005-06-18T09,3
2005-06-18T11,3
2005-06-18T12,3
2005-06-18T13,3
2005-06-19T07,1
2005-06-19T08,3
2005-06-19T10,3
2005-06-19T11,6
2005-06-19T15,5
2005-06-20T08,3
2005-06-20T09,3
2005-06-20T10,3
2005-06-20T11,3
2005-06-20T13,3
2005-06-21T05,3
2005-06-21T06,3
2005-06-21T07,3
2005-06-21T08,3
2005-06-21T15,3
2005-06-22T07,6
2005-06-22T09,6
2005-06-22T11,3
2005-06-22T12,3
2005-06-22T13,5
2005-06-23T09,6
2005-06-23T12,3
2005-06-24T06,3
2005-06-24T08,4
2005-06-24T09,1
2005-06-24T11,5
2005-06-24T12,1
2005-06-24T13,1
2005-06-25T06,6
2005-06-25T09,3
2005-06-25T10,3
2005-06-25T12,3
2005-06-26T06,2
2005-06-26T09,9
2005-06-26T11,3
2005-06-27T05,6
2005-06-27T06,2
2005-06-27T08,1
2005-06-27T09,3
2005-06-27T11,5
2005-06-27T12,7
2005-06-27T13,3
2005-06-27T16,4
2005-06-28T05,3
2005-06-28T07,6
2005-06-28T10,3
2005-06-28T12,3
2005-06-28T13,3
2005-06-28T14,3
2005-06-28T16,3
2005-06-29T06,3
2005-06-29T07,3
2005-06-29T08,9
2005-06-29T10,3
2005-06-29T11,6
2005-06-29T12,4
2005-06-29T14,3
2005-06-30T05,3
2005-06-30T07,3
2005-06-30T08,6
2005-06-30T10,3
2005-06-30T15,3
2005-07-01T06,6
2005-07-01T07,3
2005-07-01T08,9
2005-07-01T11,3
2005-07-01T13,3
2005-07-01T14,3
2005-07-01T16,3
2005-07-02T06,3
2005-07-02T08,7
2005-07-02T12,3
2005-07-02T16,3
2005-07-03T06,3
2005-07-03T07,3
2005-07-03T10,4
2005-07-03T11,3
2005-07-03T14,3
2005-07-03T15,3
2005-07-03T16,3
2005-07-04T07,6
2005-07-04T10,3
2005-07-04T11,9
2005-07-04T13,3
2005-07-04T14,3
2005-07-04T15,6
2005-07-05T07,3
2005-07-05T08,1
2005-07-05T09,1
2005-07-05T11,5
2005-07-05T13,1
2005-07-05T14,9
2005-07-05T16,2
2005-07-06T05,3
2005-07-06T11,1
2005-07-06T14,3
2005-07-06T15,2
2005-07-06T16,1
2005-07-07T06,3
2005-07-07T09,3
2005-07-07T11,6
2005-07-07T12,3
2005-07-07T13,3
2005-07-07T16,3
2005-07-08T06,2
2005-07-08T08,6
2005-07-08T13,3
2005-07-08T14,6
2005-07-08T16,4
2005-07-09T06,3
2005-07-09T08,3
2005-07-09T15,6
2005-07-10T05,3
2005-07-10T06,3
2005-07-10T12,3
2005-07-10T13,9
2005-07-10T15,12
2005-07-10T16,6
2005-07-11T05,3
2005-07-11T09,3
2005-07-11T10,9
2005-07-11T11,6
2005-07-11T12,6
2005-07-11T15,3
2005-07-12T05,6
2005-07-12T06,3
2005-07-12T08,6
2005-07-12T09,6
2005-07-12T11,3
2005-07-13T08,3
2005-07-13T09,5
2005-07-13T12,3
2005-07-13T14,3
2005-07-13T15,6
2005-07-13T16,3
2005-07-14T05,2
2005-07-14T06,2
2005-07-14T07,3
2005-07-14T08,3
2005-07-14T09,5
2005-07-14T10,12
2005-07-14T12,1
2005-07-14T14,4
2005-07-14T15,4
2005-07-14T16,7
2005-07-15T06,3
2005-07-15T08,3
2005-07-15T15,6
2005-07-16T05,27
2005-07-16T06,6
2005-07-16T08,3
2005-07-16T14,3
2005-07-16T15,3
2005-07-18T05,3
2005-07-18T06,3
2005-07-18T07,3
2005-07-18T11,2
2005-07-18T15,6
2005-07-18T16,3
2005-07-20T06,6
2005-07-20T08,6
2005-07-20T09,3
2005-07-20T11,3
2005-07-20T15,3
2005-07-20T16,1
2005-07-21T05,3
2005-07-21T08,12
2005-07-22T05,2
2005-07-22T13,3
2005-07-22T14,2
2005-07-22T15,6
2005-07-22T16,2
2005-07-23T05,1
2005-07-23T07,6
2005-07-23T08,6
2005-07-23T09,6
2005-07-23T12,3
2005-07-23T14,3
2005-07-23T16,2
2005-07-24T05,3
2005-07-24T06,3
2005-07-24T07,3
2005-07-24T10,6
2005-07-24T11,3
2005-07-24T15,3
2005-07-25T06,1
2005-07-25T07,7
2005-07-25T09,3
2005-07-25T10,3
2005-07-25T12,3
2005-07-25T13,3
2005-07-25T14,1
2005-07-26T12,6
2005-07-26T13,3
2005-07-26T15,3
2005-07-27T06,3
2005-07-27T07,3
2005-07-27T12,3
2005-07-27T13,9
2005-07-27T14,3
2005-07-27T15,3
2005-07-28T05,3
2005-07-28T08,5
2005-07-28T09,4
2005-07-28T12,1
2005-07-28T13,2
2005-07-29T06,3
2005-07-29T07,2
2005-07-29T11,5
2005-07-29T12,3
2005-07-29T15,3
2005-07-29T16,3
2005-07-30T05,1
2005-07-30T06,3
2005-07-30T07,3
2005-07-30T10,3
2005-07-30T12,3
2005-07-30T14,6
2005-07-30T15,2
2005-07-30T16,3
2005-07-31T05,6
2005-07-31T07,3
2005-07-31T09,6
2005-07-31T11,6
2005-07-31T12,3
2005-07-31T14,9
2005-07-31T15,3
2005-07-31T16,7
2005-08-01T05,2
2005-08-01T06,6
2005-08-01T09,3
2005-08-01T12,3
2005-08-01T13,5
2005-08-01T14,9
2005-08-01T16,3
